,FILE,FIELD,RMSE,ERROR
1648,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_fixed_PeakVCC_AS_district_scale_USD,29.3547240001, ok
1651,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_fixed_Trigen_NG_district_scale_USD,49553645.119225, ok
1653,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_var_GRID_exports_district_scale_USD,32312812.638095997, ok
1654,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_var_GRID_imports_district_scale_USD,447054358.1956, ok
1655,cooling\outputs\data\optimization\slave\gen_2\ind_0_buildings_district_scale_performance.csv, Opex_var_NG_district_scale_USD,3509438498.984196, ok
1660,cooling\outputs\data\optimization\slave\gen_2\ind_0_building_scale_cooling_capacity.csv, Capacity_DX_AS_cool_building_scale_W,11367111.653556503, ok
1663,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, E_Trigen_NG_gen_W,468501564.3316526, ok
1664,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_BackupVCC_AS_W,1.9045068493, ok
1665,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_BackupVCC_AS_directload_W,1.9045068493, ok
1668,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_BaseVCC_WS_gen_W,200237224.51982874, ok
1669,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_BaseVCC_WS_gen_directload_W,219558858.32677302, ok
1670,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_DailyStorage_gen_directload_W,19956300.474149536, ok
1675,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_Trigen_NG_gen_W,181573881.9705801, ok
1676,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_Trigen_NG_gen_directload_W,169972879.21924338, ok
1677,cooling\outputs\data\optimization\slave\gen_2\ind_0_Cooling_Activation_Pattern.csv, Q_districtcooling_sys_req_W,4687086.363679224, ok
1678,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_BackupVCC_AS_cool_district_scale_W,4.84, ok
1679,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_BaseVCC_AS_cool_district_scale_W,542911.0806250011, ok
1680,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_BaseVCC_WS_cool_district_scale_W,562299.017956019, ok
1681,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_DailyStorage_WS_cool_district_scale_W,196383115.03297597, ok
1682,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_PeakVCC_AS_cool_district_scale_W,45301487.88704399, ok
1683,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_PeakVCC_WS_cool_district_scale_W,597177770.2028409, ok
1684,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_TrigenACH_cool_NG_district_scale_W,223185522.96602502, ok
1685,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_TrigenCCGT_el_NG_district_scale_W,519719987.7274239, ok
1686,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_cooling_capacity.csv, Capacity_TrigenCCGT_heat_NG_district_scale_W,321387153.0710759, ok
1687,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_electrical_capacity.csv, Capacity_GRID_el_district_scale_W,200709499.171204, ok
1688,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_electrical_capacity.csv, Capacity_PV_el_district_scale_W,35851353.75999998, ok
1689,cooling\outputs\data\optimization\slave\gen_2\ind_0_district_scale_electrical_capacity.csv, Capacity_PV_el_district_scale_m2,57581.281521, ok
1696,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Activation_Pattern.csv, E_GRID_directload_W,270014705.4450254, ok
1699,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Activation_Pattern.csv, E_PV_gen_directload_W,100574019.89388973, ok
1700,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Activation_Pattern.csv, E_PV_gen_export_W,18005711.45172226, ok
1701,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Activation_Pattern.csv, E_Trigen_gen_directload_W,398649408.9412239, ok
1702,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Activation_Pattern.csv, E_Trigen_gen_export_W,15037213.205387747, ok
1704,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Requirements_Pattern.csv, E_BackupVCC_AS_req_W,4.0692094178, ok
