,Q_DH_networkload,Q_aux_ch,Q_aux_dech,Q_from_storage_used,Q_missing,Q_storage_content_Wh,Q_to_storage,Solar_Q_th_W,mdot_DH_fin
7207,3185413.0,0.0,744948.3660856241,2475822.7182143764,0.0,69820034.04003823,0.0,0.0,9.71920821126623
7208,3302563.0,0.0,776909.3245147449,2562312.1247852556,0.0,67257541.48935778,0.0,0.0,10.567880757873194
7209,3427822.0,0.0,811278.3425526326,2654592.481647368,0.0,64602774.47225738,0.0,0.0,10.460929515267283
7210,3830482.0,0.0,912253.4442938142,2960746.9059061864,0.0,61641859.13345307,0.0,0.0,10.91186489584675
7211,3692166.0,0.0,798440.5493131119,2568003.453056888,0.0,59073694.05379988,0.0,362679.3,14.46494120529036
7212,3401804.0,0.0,771363.4168701818,2461591.9279798185,0.0,56611946.40270797,0.0,204340.5,13.292740022232499
7213,3401159.0,0.0,781552.1791346103,2475555.71585539,0.0,54136240.62259975,0.0,179808.10000000003,12.830927099844287
7214,3150715.0,0.0,744738.6771725749,2341372.996917425,0.0,51794723.25237389,0.0,98483.1,11.831406139900464
7215,3111560.0,0.0,763281.0771322158,2382817.238867785,0.0,49411767.0226818,0.0,0.0,10.787218541296044
7216,2769006.0,0.0,682933.7058943827,2116808.2607056177,0.0,47294825.24889126,0.0,0.0,10.48457610850728
7217,2642015.0,0.0,654734.9405697068,2016606.4259302935,0.0,45278090.176125355,0.0,0.0,9.687862927585945
7218,1168181.0,0.0,290809.4614569553,890338.3476430449,0.0,44387627.817548394,0.0,0.0,6.40263796756906
7219,1191770.0,0.0,297274.06851947703,907724.5784805232,0.0,43479781.27505997,0.0,0.0,6.416017092390184
7220,1231004.0,0.0,307684.3161619222,936983.8282380779,0.0,42542677.569695264,0.0,0.0,6.655875388510431
7221,521928.0,0.0,130726.71210260788,396994.68869739224,0.0,42145565.15800637,0.0,0.0,4.245603115032331
7222,353319.0,0.0,88573.7187380708,268667.1221619292,0.0,41876781.22570444,0.0,0.0,3.993299358087658
7223,350288.0,0.0,87866.42545614566,266309.7713438544,0.0,41610355.26207918,0.0,0.0,4.155336521722302
7224,280034.0,0.0,70285.51694537545,212856.8604546246,0.0,41397382.821780786,0.0,0.0,4.160257864975136
7225,277554.0,0.0,69696.05590877437,210938.79349122566,0.0,41186328.93800924,0.0,0.0,4.181198661780065
7226,287165.0,0.0,72143.28296251969,218209.2485374803,0.0,40968005.08434438,0.0,0.0,4.1832508112107565
7227,292396.0,0.0,73493.07539024025,222148.5202097598,0.0,40745742.46087173,0.0,0.0,4.1853736488498505
7228,291142.0,0.0,73214.0023439825,221159.67385601753,0.0,40524469.19467146,0.0,0.0,4.416268895252235
7229,368878.0,0.0,92807.97078469887,280164.5750153011,0.0,40244191.53595631,0.0,0.0,4.418537932660917
7230,1281345.0,0.0,322580.8235977366,972987.1059022637,0.0,39271091.990632616,0.0,0.0,6.402295580365686
7231,3501439.0,0.0,883395.0422650172,2656909.930634983,0.0,36614071.85745203,0.0,0.0,11.823540914098627
7232,3805594.0,0.0,965775.3986207641,2882060.694779236,0.0,33731907.06785296,0.0,0.0,11.920587353826766
7233,3477438.0,0.0,888090.6333361028,2627946.928463897,0.0,31103862.669846334,0.0,0.0,11.834390988743634
7234,3704533.0,0.0,951521.4664731406,2794131.84982686,0.0,28309639.391605776,0.0,0.0,10.504939646441837
7235,3541894.0,0.0,915270.8972185517,2665938.126181449,0.0,25643616.260135487,0.0,0.0,10.454217525919928
7236,3098429.0,0.0,553135.7485666444,1598744.7019133556,0.0,24044792.681363977,0.0,970172.2000000001,20.290507171639906
7237,3059132.0,0.0,751295.824749197,2161491.6718008034,0.0,21883225.80795199,0.0,178321.5,11.751770005499392
7238,2890741.0,0.0,740483.6969960495,2117165.281033951,0.0,19765990.294132225,0.0,64463.700000000004,10.27451728495627
7239,2647512.0,0.0,696775.8329657323,1980123.5502342677,0.0,17785801.37803551,0.0,0.0,9.351543205520944
7240,2371194.0,0.0,626674.7664055809,1770839.4869944195,0.0,16014901.077071302,0.0,0.0,9.487219275533594
7241,2442356.0,0.0,647895.9653322914,1821570.1862677087,0.0,14193274.14763175,0.0,0.0,9.524256052403581
7242,859143.0,0.0,228782.65674860083,639896.8305513994,0.0,13553324.761311194,0.0,0.0,5.171045066070121
7243,888158.0,0.0,236826.34369055854,661190.2101094415,0.0,12892083.46650073,0.0,0.0,5.178282755506371
7244,916070.0,0.0,244607.13512109598,681631.2418789042,0.0,12210402.659926629,0.0,0.0,5.5517126401493915
7245,332955.0,0.0,89031.64192321361,247619.1585767864,0.0,11962735.503645109,0.0,0.0,4.505128022070735
