DATE,Hour,Hour2,Month,Day,tintH_set,tintC_set,People,Ve,I_int,w_int,Ealf_nove,Epro,Edata,Qcdata,Qcrefri,Mww,Mw
6/1/2010 11:59,13.00,133,1,4,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
6/1/2010 12:59,14.00,134,1,4,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 13:59,15.00,135,1,4,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 14:59,16.00,136,1,4,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 15:59,17.00,137,1,4,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
6/1/2010 16:59,18.00,138,1,4,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
6/1/2010 17:59,19.00,139,1,4,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
6/1/2010 18:59,20.00,140,1,4,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
6/1/2010 19:59,21.00,141,1,4,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 20:59,22.00,142,1,4,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 21:59,23.00,143,1,4,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
6/1/2010 22:59,24.00,144,1,4,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
6/1/2010 23:59,1.00,145,1,4,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
7/1/2010 0:59,2.00,146,1,5,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
7/1/2010 1:59,3.00,147,1,5,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
7/1/2010 2:59,4.00,148,1,5,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
7/1/2010 3:59,5.00,149,1,5,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
7/1/2010 4:59,6.00,150,1,5,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
7/1/2010 5:59,7.00,151,1,5,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 6:59,8.00,152,1,5,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
7/1/2010 7:59,9.00,153,1,5,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 8:59,10.00,154,1,5,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 9:59,11.00,155,1,5,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 10:59,12.00,156,1,5,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
7/1/2010 11:59,13.00,157,1,5,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
7/1/2010 12:59,14.00,158,1,5,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 13:59,15.00,159,1,5,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 14:59,16.00,160,1,5,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 15:59,17.00,161,1,5,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
7/1/2010 16:59,18.00,162,1,5,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
7/1/2010 17:59,19.00,163,1,5,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
7/1/2010 18:59,20.00,164,1,5,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
7/1/2010 19:59,21.00,165,1,5,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 20:59,22.00,166,1,5,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 21:59,23.00,167,1,5,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
7/1/2010 22:59,24.00,168,1,5,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
7/1/2010 23:59,1.00,169,1,5,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
8/1/2010 0:59,2.00,170,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
8/1/2010 1:59,3.00,171,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
8/1/2010 2:59,4.00,172,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
8/1/2010 3:59,5.00,173,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
8/1/2010 4:59,6.00,174,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
8/1/2010 5:59,7.00,175,1,6,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 6:59,8.00,176,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
8/1/2010 7:59,9.00,177,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 8:59,10.00,178,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 9:59,11.00,179,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 10:59,12.00,180,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
8/1/2010 11:59,13.00,181,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
8/1/2010 12:59,14.00,182,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 13:59,15.00,183,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 14:59,16.00,184,1,6,22,22,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 15:59,17.00,185,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
8/1/2010 16:59,18.00,186,1,6,22,22,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
8/1/2010 17:59,19.00,187,1,6,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
8/1/2010 18:59,20.00,188,1,6,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
8/1/2010 19:59,21.00,189,1,6,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 20:59,22.00,190,1,6,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 21:59,23.00,191,1,6,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
8/1/2010 22:59,24.00,192,1,6,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
