description,code,U_wall,a_wall,e_wall,r_wall,GHG_wall_kgCO2m2,GHG_biogenic_wall_kgCO2m2,Service_Life_wall
TABULA GDR High rise 1979 - 1983 Normal Refurbishment,WALL_HR-EAST_G_NR,0.22,0.6,0.95,0.4,112,0,30
TABULA GDR Multi family house 1949 - 1957 Advanced Refurbishment,WALL_MFH-EAST_D_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA GDR Multi family house 1958 - 1968 Advanced Refurbishment,WALL_MFH-EAST_E_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1969 - 1978 Advanced Refurbishment,WALL_AB-EAST_F_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1979 - 1983 Advanced Refurbishment,WALL_AB-EAST_G_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA GDR Apartment block 1984 - 1994 Advanced Refurbishment,WALL_AB-EAST_H_AR,0.12,0.6,0.95,0.4,112,0,30
TABULA GDR High rise 1969 - 1978 Advanced Refurbishment,WALL_HR-EAST_F_AR,0.13,0.6,0.95,0.4,112,0,30
TABULA GDR High rise 1979 - 1983 Advanced Refurbishment,WALL_HR-EAST_G_AR,0.13,0.6,0.95,0.4,112,0,30
Wand 15,WALL_BMVBS_A,1.5,0.5,0.8,0.5,112,0,30
"Mauerwerk aus Hohlblocksteinen, Hochlochziegeln oder Gitterziegeln 12",WALL_BMVBS_B,1.2,0.5,0.8,0.5,43,0,30
Wand 085,WALL_BMVBS_C,0.85,0.5,0.8,0.5,112,0,30
Wand 035,WALL_BMVBS_D,0.35,0.5,0.8,0.5,112,0,30
"IWU Office, Administrative or Government Buildings 1860 - 1978",WALL_NWG_1_A,1.29,0.5,0.8,0.5,112,0,30
"IWU Office, Administrative or Government Buildings 1979 - 2009",WALL_NWG_1_B,0.48,0.5,0.8,0.5,112,0,30
"IWU Office, Administrative or Government Buildings 2010 - 2030",WALL_NWG_1_C,0.19,0.5,0.8,0.5,112,0,30
IWU Research and University Teaching  (2) 1860 - 1978,WALL_NWG_2_A,1.28,0.5,0.8000000000000002,0.5,112,0,30
IWU Research and University Teaching  (2) 1979 - 2009,WALL_NWG_2_B,0.29,0.5,0.8000000000000002,0.5,112,0,30
IWU Research and University Teaching  (2) 2010 - 2030,WALL_NWG_2_C,0.2,0.5,0.8000000000000002,0.5,112,0,30
IWU Health and Care (3) 1860 - 1978,WALL_NWG_3_A,0.95,0.5,0.8000000000000002,0.5,112,0,30
IWU Health and Care (3) 1979 - 2009,WALL_NWG_3_B,0.44,0.5,0.8000000000000002,0.5,112,0,30
IWU Health and Care (3)  2010 - 2030,WALL_NWG_3_C,0.21,0.5,0.8000000000000002,0.5,112,0,30
"IWU School, Day Nursery and other Care  (4) 1860 - 1978",WALL_NWG_4_A,1.09,0.5,0.8000000000000002,0.5,112,0,30
"IWU School, Day Nursery and other Care  (4) 1979 - 2009",WALL_NWG_4_B,0.51,0.5,0.8000000000000002,0.5,112,0,30
"IWU School, Day Nursery and other Care  (4)  2010 - 2030",WALL_NWG_4_C,0.23,0.5,0.8000000000000002,0.5,112,0,30
IWU Culture and Leisure (5) 1860 - 1978,WALL_NWG_5_A,1.39,0.5,0.8000000000000002,0.5,112,0,30
IWU Culture and Leisure (5) 1979 - 2009,WALL_NWG_5_B,0.53,0.5,0.8000000000000002,0.5,112,0,30
IWU Culture and Leisure (5) 2010 - 2030,WALL_NWG_5_C,0.51,0.5,0.8000000000000002,0.5,112,0,30
IWU Sports Facilities (6) 1860 - 1978,WALL_NWG_6_A,1.35,0.5,0.8000000000000002,0.5,112,0,30
IWU Sports Facilities (6) 1979 - 2009,WALL_NWG_6_B,0.55,0.5,0.8000000000000002,0.5,112,0,30
IWU Sports Facilities (6) 2010 - 2030,WALL_NWG_6_C,0.27,0.5,0.8000000000000002,0.5,112,0,30
"IWU Hotels, Boarding, Restaurants or Catering (7) 1860 - 1978",WALL_NWG_7_A,1.2,0.5,0.8000000000000002,0.5,112,0,30
"IWU Hotels, Boarding, Restaurants or Catering (7) 1979 - 2009",WALL_NWG_7_B,0.47,0.5,0.8000000000000002,0.5,112,0,30
"IWU Hotels, Boarding, Restaurants or Catering (7) 2010 - 2030",WALL_NWG_7_C,0.32,0.5,0.8000000000000002,0.5,112,0,30
"IWU Production, Workshop, Warehouse or Operations (8) 1860 - 1978",WALL_NWG_8_A,1.03,0.5,0.8000000000000002,0.5,112,0,30
"IWU Production, Workshop, Warehouse or Operations (8) 1979 - 2009",WALL_NWG_8_B,0.51,0.5,0.8000000000000002,0.5,112,0,30
"IWU Production, Workshop, Warehouse or Operations (8) 2010 - 2030",WALL_NWG_8_C,0.24,0.5,0.8000000000000002,0.5,112,0,30
IWU Trade Buildings (9) 1860 - 1978,WALL_NWG_9_A,0.55,0.5,0.8000000000000002,0.5,112,0,30
