description,code,U_roof,a_roof,e_roof,r_roof,GHG_roof_kgCO2m2,GHG_biogenic_roof_kgCO2m2,Service_Life_roof
IWU Health and Care (3) 1979 - 2009,ROOF_NWG_3_B,0.23,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Health and Care (3)  2010 - 2030,ROOF_NWG_3_C,0.09,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU School, Day Nursery and other Care  (4) 1860 - 1978",ROOF_NWG_4_A,0.47,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU School, Day Nursery and other Care  (4) 1979 - 2009",ROOF_NWG_4_B,0.27,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU School, Day Nursery and other Care  (4)  2010 - 2030",ROOF_NWG_4_C,0.16,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Culture and Leisure (5) 1860 - 1978,ROOF_NWG_5_A,0.78,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Culture and Leisure (5) 1979 - 2009,ROOF_NWG_5_B,0.35,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Culture and Leisure (5) 2010 - 2030,ROOF_NWG_5_C,0.33,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Sports Facilities (6) 1860 - 1978,ROOF_NWG_6_A,0.41,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Sports Facilities (6) 1979 - 2009,ROOF_NWG_6_B,0.38,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Sports Facilities (6) 2010 - 2030,ROOF_NWG_6_C,0.22,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Hotels, Boarding, Restaurants or Catering (7) 1860 - 1978",ROOF_NWG_7_A,0.8,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Hotels, Boarding, Restaurants or Catering (7) 1979 - 2009",ROOF_NWG_7_B,0.33,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Hotels, Boarding, Restaurants or Catering (7) 2010 - 2030",ROOF_NWG_7_C,0.18,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Production, Workshop, Warehouse or Operations (8) 1860 - 1978",ROOF_NWG_8_A,0.59,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Production, Workshop, Warehouse or Operations (8) 1979 - 2009",ROOF_NWG_8_B,0.27,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Production, Workshop, Warehouse or Operations (8) 2010 - 2030",ROOF_NWG_8_C,0.12,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Trade Buildings (9) 1860 - 1978,ROOF_NWG_9_A,0.22,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Trade Buildings (9) 1979 - 2009,ROOF_NWG_9_B,0.42,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Trade Buildings (9) 2010 - 2030,ROOF_NWG_9_C,0.18,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Technical and Utility (supply and disposal) (10) 1860 - 1978,ROOF_NWG_10_A,0.99,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Technical and Utility (supply and disposal) (10) 1979 - 2009,ROOF_NWG_10_B,0.22,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Technical and Utility (supply and disposal) (10) 2010 - 2030,ROOF_NWG_10_C,0.15,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Transport (11)  1860 - 1978,ROOF_NWG_11_A,1.76,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Transport (11) 1979 - 2009,ROOF_NWG_11_B,0.41,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
IWU Transport (11) 2010 - 2030,ROOF_NWG_11_C,0.15,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9)  1860 - 1978",ROOF_NWG_G1_A,0.39,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9) 1979 - 2009",ROOF_NWG_G1_B,0.37,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9) 2010 - 2030",ROOF_NWG_G1_C,0.17,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11)  1860 - 1978",ROOF_NWG_G2_A,0.63,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11) 1979 - 2009",ROOF_NWG_G2_B,0.28,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11) 2010 - 2030",ROOF_NWG_G2_C,0.12,0.5500000000000002,0.9100000000000001,0.44999999999999984,112,0,60
NoRotrofit,ROOF_NoRet,0.2,0.6,0.94,0.4,0,0,60
